date,close
2016-01-14,0.92040
2016-01-15,0.91550
2016-01-18,0.91790
2016-01-19,0.91600
2016-01-20,0.91810
2016-01-21,0.91970
2016-01-22,0.92600
2016-01-25,0.92140
2016-01-26,0.92000
2016-01-27,0.91690
2016-01-28,0.91390
2016-01-29,0.92320
2016-02-01,0.91810
2016-02-02,0.91510
2016-02-03,0.90210
2016-02-04,0.89240
2016-02-05,0.89600
2016-02-08,0.89240
2016-02-09,0.88560
2016-02-10,0.88630
2016-02-11,0.88360
2016-02-12,0.88810
2016-02-15,0.89550
2016-02-16,0.89740
2016-02-17,0.89820
2016-02-18,0.89990
2016-02-19,0.89830
2016-02-22,0.90680
2016-02-23,0.90720
2016-02-24,0.90750
2016-02-25,0.90720
2016-02-26,0.91430
2016-02-29,0.91850
2016-03-01,0.91990
2016-03-02,0.91970
2016-03-03,0.91300
2016-03-04,0.90870
2016-03-07,0.90760
2016-03-08,0.90840
2016-03-09,0.90910
2016-03-10,0.89420
2016-03-11,0.89630
2016-03-14,0.90030
2016-03-15,0.90010
2016-03-16,0.89140
2016-03-17,0.88350
2016-03-18,0.88670
2016-03-21,0.88940
2016-03-22,0.89130
2016-03-23,0.89410
2016-03-24,0.89440
2016-03-25,0.89440
2016-03-28,0.89280
2016-03-29,0.88560
2016-03-30,0.88220
2016-03-31,0.87860
2016-04-01,0.87730
2016-04-04,0.87780
2016-04-05,0.87820
2016-04-06,0.87720
2016-04-07,0.87900
2016-04-08,0.87750
2016-04-11,0.87620
2016-04-12,0.87810
2016-04-13,0.88630
2016-04-14,0.88750
2016-04-15,0.88540
2016-04-18,0.88390
2016-04-19,0.88020
2016-04-20,0.88460
2016-04-21,0.88560
2016-04-22,0.89060
2016-04-25,0.88730
2016-04-26,0.88470
2016-04-27,0.88260
2016-04-28,0.88050
2016-04-29,0.87300
2016-05-02,0.86730
2016-05-03,0.86930
2016-05-04,0.86990
2016-05-05,0.87670
2016-05-06,0.87670
2016-05-09,0.87820
2016-05-10,0.87910
2016-05-11,0.87510
2016-05-12,0.87850
2016-05-13,0.88390
2016-05-16,0.88350
2016-05-17,0.88370
2016-05-18,0.89070
2016-05-19,0.89240
2016-05-20,0.89080
2016-05-23,0.89130
2016-05-24,0.89740
2016-05-25,0.89600
2016-05-26,0.89310
2016-05-27,0.89970
2016-05-30,0.89730
2016-05-31,0.89810
2016-06-01,0.89380
2016-06-02,0.89640
2016-06-03,0.87960
2016-06-06,0.88040
2016-06-07,0.88040
2016-06-08,0.87700
2016-06-09,0.88350
2016-06-10,0.88880
2016-06-13,0.88540
2016-06-14,0.89180
2016-06-15,0.88760
2016-06-16,0.89010
2016-06-17,0.88680
2016-06-20,0.88360
2016-06-21,0.88810
2016-06-22,0.88220
2016-06-23,0.87870
2016-06-24,0.89950
2016-06-27,0.90800
2016-06-28,0.90270
2016-06-29,0.89850
2016-06-30,0.90060
2016-07-01,0.89770
2016-07-04,0.89680
2016-07-05,0.90380
2016-07-06,0.90090
2016-07-07,0.90400
2016-07-08,0.90440
2016-07-11,0.90380
2016-07-12,0.90360
2016-07-13,0.90070
2016-07-14,0.89940
2016-07-15,0.90600
2016-07-18,0.90270
2016-07-19,0.90740
2016-07-20,0.90800
2016-07-21,0.90670
2016-07-22,0.91070
2016-07-25,0.90940
2016-07-26,0.90980
2016-07-27,0.90410
2016-07-28,0.90250
2016-07-29,0.89460
2016-08-01,0.89530
2016-08-02,0.89110
2016-08-03,0.89660
2016-08-04,0.89840
2016-08-05,0.90200
2016-08-08,0.90190
2016-08-09,0.89930
2016-08-10,0.89380
2016-08-11,0.89740
2016-08-12,0.89570
2016-08-15,0.89370
2016-08-16,0.88640
2016-08-17,0.88510
2016-08-18,0.88110
2016-08-19,0.88250
2016-08-22,0.88310
2016-08-23,0.88440
2016-08-24,0.88740
2016-08-25,0.88590
2016-08-26,0.89280
2016-08-29,0.89360
2016-08-30,0.89670
2016-08-31,0.89570
2016-09-01,0.89300
2016-09-02,0.89620
2016-09-05,0.89670
2016-09-06,0.88910
2016-09-07,0.88920
2016-09-08,0.88750
2016-09-09,0.89040
2016-09-12,0.88960
2016-09-13,0.89140
2016-09-14,0.88920
2016-09-15,0.88870
2016-09-16,0.89600
2016-09-19,0.89430
2016-09-20,0.89640
2016-09-21,0.89340
2016-09-22,0.89180
2016-09-23,0.89030
2016-09-26,0.88850
2016-09-27,0.89120
2016-09-28,0.89120
2016-09-29,0.89080
2016-09-30,0.88930
2016-10-03,0.89150
2016-10-04,0.89210
2016-10-05,0.89210
2016-10-06,0.89700
2016-10-07,0.89240
2016-10-10,0.89740
2016-10-11,0.90390
2016-10-12,0.90780
2016-10-13,0.90440
2016-10-14,0.91140
2016-10-17,0.90850
2016-10-18,0.91060
2016-10-19,0.91060
2016-10-20,0.91480
2016-10-21,0.91850
2016-10-24,0.91950
2016-10-25,0.91800
2016-10-26,0.91640
2016-10-27,0.91760
2016-10-28,0.91020
2016-10-31,0.91110
2016-11-01,0.90420
2016-11-02,0.90080
2016-11-03,0.90020
2016-11-04,0.89690
2016-11-07,0.90530
2016-11-08,0.90760
2016-11-09,0.91560
2016-11-10,0.91840
2016-11-11,0.92100
2016-11-14,0.93050
2016-11-15,0.93220
2016-11-16,0.93400
2016-11-17,0.94070
2016-11-18,0.94430
2016-11-21,0.94040
2016-11-22,0.94070
2016-11-23,0.94750
2016-11-24,0.94690
2016-11-25,0.94380
2016-11-28,0.94190
2016-11-29,0.93880
2016-11-30,0.94350
2016-12-01,0.93780
2016-12-02,0.93750
2016-12-05,0.92910
2016-12-06,0.93280
2016-12-07,0.92930
2016-12-08,0.94190
2016-12-09,0.94660
2016-12-12,0.93980
2016-12-13,0.94090
2016-12-14,0.94960
2016-12-15,0.95960
2016-12-16,0.95660
2016-12-19,0.96120
2016-12-20,0.96210
2016-12-21,0.95870
2016-12-22,0.95800
2016-12-23,0.95650
2016-12-26,0.95650
2016-12-27,0.95580
2016-12-28,0.95970
2016-12-29,0.95270
2016-12-30,0.95040
2017-01-02,0.95560
2017-01-03,0.96050
2017-01-04,0.95330
2017-01-05,0.94300
2017-01-06,0.94940
2017-01-09,0.94460
2017-01-10,0.94710
2017-01-11,0.94460
2017-01-12,0.94190
2017-01-13,0.93930
2017-01-16,0.94330
2017-01-17,0.93340
2017-01-18,0.94020
2017-01-19,0.93770
2017-01-20,0.93400
2017-01-23,0.92810
2017-01-24,0.93150
2017-01-25,0.93000
2017-01-26,0.93610
2017-01-27,0.93450
2017-01-30,0.93420
2017-01-31,0.92600
2017-02-01,0.92850
2017-02-02,0.92900
2017-02-03,0.92710
2017-02-06,0.92970
2017-02-07,0.93600
2017-02-08,0.93450
2017-02-09,0.93820
2017-02-10,0.93960
2017-02-13,0.94350
2017-02-14,0.94510
2017-02-15,0.94380
2017-02-16,0.93710
2017-02-17,0.94170
2017-02-20,0.94200
2017-02-21,0.94860
2017-02-22,0.94720
2017-02-23,0.94500
2017-02-24,0.94720
2017-02-27,0.94430
2017-02-28,0.94550
2017-03-01,0.94760
2017-03-02,0.95150
2017-03-03,0.94130
2017-03-06,0.94480
2017-03-07,0.94610
2017-03-08,0.94850
2017-03-09,0.94530
2017-03-10,0.93670
2017-03-13,0.93860
2017-03-14,0.94240
2017-03-15,0.93170
2017-03-16,0.92810
2017-03-17,0.93050
2017-03-20,0.93130
2017-03-21,0.92460
2017-03-22,0.92620
2017-03-23,0.92720
2017-03-24,0.92580
2017-03-27,0.92010
2017-03-28,0.92440
2017-03-29,0.92850
2017-03-30,0.93570
2017-03-31,0.93730
2017-04-03,0.93720
2017-04-04,0.93620
2017-04-05,0.93700
2017-04-06,0.93930
2017-04-07,0.94360
2017-04-10,0.94340
2017-04-11,0.94270
2017-04-12,0.93730
2017-04-13,0.94180
2017-04-14,0.94210
2017-04-17,0.93940
2017-04-18,0.93170
2017-04-19,0.93300
2017-04-20,0.93290
2017-04-21,0.93210
2017-04-24,0.91990
2017-04-25,0.91460
2017-04-26,0.91650
2017-04-27,0.91940
2017-04-28,0.91770
2017-05-01,0.91630
2017-05-02,0.91460
2017-05-03,0.91810
2017-05-04,0.91040
2017-05-05,0.90870
2017-05-08,0.91500
2017-05-09,0.91850
2017-05-10,0.92000
2017-05-11,0.92020
2017-05-12,0.91470
2017-05-15,0.91040
2017-05-16,0.90110
2017-05-17,0.89560
2017-05-18,0.90000
2017-05-19,0.89250
2017-05-22,0.88950
2017-05-23,0.89370
2017-05-24,0.89120
2017-05-25,0.89150
2017-05-26,0.89420
2017-05-29,0.89750
2017-05-30,0.89470
2017-05-31,0.88950
2017-06-01,0.89110
2017-06-02,0.88640
2017-06-05,0.88800
2017-06-06,0.88640
2017-06-07,0.88800
2017-06-08,0.89240
2017-06-09,0.89310
2017-06-12,0.89250
2017-06-13,0.89190
2017-06-14,0.89180
2017-06-15,0.89690
2017-06-16,0.89370
2017-06-19,0.89650
2017-06-20,0.89780
2017-06-21,0.89520
2017-06-22,0.89660
2017-06-23,0.89320
2017-06-26,0.89420
2017-06-27,0.88130
2017-06-28,0.87850
2017-06-29,0.87370
2017-06-30,0.87460
2017-07-03,0.87940
2017-07-04,0.88080
2017-07-05,0.88050
2017-07-06,0.87530
2017-07-07,0.87690
2017-07-10,0.87720
2017-07-11,0.87150
2017-07-12,0.87570
2017-07-13,0.87730
2017-07-14,0.87200
2017-07-17,0.87110
2017-07-18,0.86550
2017-07-19,0.86730
2017-07-20,0.85970
2017-07-21,0.85720
2017-07-24,0.85900
2017-07-25,0.85840
2017-07-26,0.85170
2017-07-27,0.85570
2017-07-28,0.85060
2017-07-31,0.84500
2017-08-01,0.84680
2017-08-02,0.84350
2017-08-03,0.84160
2017-08-04,0.84900
2017-08-07,0.84780
2017-08-08,0.85010
2017-08-09,0.84990
2017-08-10,0.84970
2017-08-11,0.84530
2017-08-14,0.84870
2017-08-15,0.85170
2017-08-16,0.84870
2017-08-17,0.85250
2017-08-18,0.84980
2017-08-21,0.84650
2017-08-22,0.84980
2017-08-23,0.84640
2017-08-24,0.84700
2017-08-25,0.83820
2017-08-28,0.83520
2017-08-29,0.83490
2017-08-30,0.84040
2017-08-31,0.83920
2017-09-01,0.84300
2017-09-04,0.84020
2017-09-05,0.83860
2017-09-06,0.83830
2017-09-07,0.83170
2017-09-08,0.83060
2017-09-11,0.83570
2017-09-12,0.83510
2017-09-13,0.84070
2017-09-14,0.83850
2017-09-15,0.83690
2017-09-18,0.83610
2017-09-19,0.83340
2017-09-20,0.84080
2017-09-21,0.83720
2017-09-22,0.83650
2017-09-25,0.84330
2017-09-26,0.84780
2017-09-27,0.85140
2017-09-28,0.84850
2017-09-29,0.84610
2017-10-02,0.85160
2017-10-03,0.85130
2017-10-04,0.85000
2017-10-05,0.85370
2017-10-06,0.85230
2017-10-09,0.85150
2017-10-10,0.84640
2017-10-11,0.84270
2017-10-12,0.84470
2017-10-13,0.84570
2017-10-16,0.84780
2017-10-17,0.84950
2017-10-18,0.84760
2017-10-19,0.84380
2017-10-20,0.84830
2017-10-23,0.85080
2017-10-24,0.84960
2017-10-25,0.84610
2017-10-26,0.85850
2017-10-27,0.86110
2017-10-30,0.85870
2017-10-31,0.85810
2017-11-01,0.86040
2017-11-02,0.85760
2017-11-03,0.86100
2017-11-06,0.86100
2017-11-07,0.86240
2017-11-08,0.86220
2017-11-09,0.85850
2017-11-10,0.85690
2017-11-13,0.85700
2017-11-14,0.84740
2017-11-15,0.84940
2017-11-16,0.84930
2017-11-17,0.84790
2017-11-20,0.85190
2017-11-21,0.85200
2017-11-22,0.84590
2017-11-23,0.84360
2017-11-24,0.83780
2017-11-27,0.84010
2017-11-28,0.84380
2017-11-29,0.84370
2017-11-30,0.84090
2017-12-01,0.84020
2017-12-04,0.84240
2017-12-05,0.84510
2017-12-06,0.84700
2017-12-07,0.84900
2017-12-08,0.84930
2017-12-11,0.84910
2017-12-12,0.85170
2017-12-13,0.84540
2017-12-14,0.84970
2017-12-15,0.85090
2017-12-18,0.84850
2017-12-19,0.84420
2017-12-20,0.84200
2017-12-21,0.84230
2017-12-22,0.84270
2017-12-25,0.84210
2017-12-26,0.84290
2017-12-27,0.84020
2017-12-28,0.83710
2017-12-29,0.83320
2018-01-01,0.83200
2018-01-02,0.82910
2018-01-03,0.83220
2018-01-04,0.82820
2018-01-05,0.83110
2018-01-08,0.83500
2018-01-09,0.83760
2018-01-10,0.83650
2018-01-11,0.83040
2018-01-12,0.81930
2018-01-15,0.81510
2018-01-16,0.81570
2018-01-17,0.82160
2018-01-18,0.81660
2018-01-19,0.81790
2018-01-22,0.81550
2018-01-23,0.81290
2018-01-24,0.80590
2018-01-25,0.80800
2018-01-26,0.80450
2018-01-29,0.80750
2018-01-30,0.80590
2018-01-31,0.80540
2018-02-01,0.79940
2018-02-02,0.80230
2018-02-05,0.80770
2018-02-06,0.80750
2018-02-07,0.81580
2018-02-08,0.81610
2018-02-09,0.81580
2018-02-12,0.81340
2018-02-13,0.80950
2018-02-14,0.80270
2018-02-15,0.79960
